text,category_truth,source
Will there be a lot of sun in Dry Prong Somalia at 5 pm,GetWeather,snips_benchmark
Play some Psychedelic Rock .,PlayMusic,snips_benchmark
Is Storm Warning playing,SearchScreeningEvent,snips_benchmark
Find the Rewind the Film TV show,SearchCreativeWork,snips_benchmark
What is the weather forecast for Papua New Guinea,GetWeather,snips_benchmark
What movie theatre has A Matter of Wife... And Death,SearchScreeningEvent,snips_benchmark
Will it be hotter in CT at 6 am,GetWeather,snips_benchmark
Find the movie schedules,SearchScreeningEvent,snips_benchmark
What's the weather forecast for Austin Liechtenstein,GetWeather,snips_benchmark
Find me the Travel Weekly,SearchCreativeWork,snips_benchmark
Play some twenties chant music on Slacker,PlayMusic,snips_benchmark
Check the forecast for Natchaug State Forest,GetWeather,snips_benchmark
Where can I see the movie Across the Line The Exodus of Charlie Wright ?,SearchCreativeWork,snips_benchmark
table for 5 AM . at Baker’s Keyboard Lounge,BookRestaurant,snips_benchmark
Play the top caleigh peters .,PlayMusic,snips_benchmark
What's the weather forecast for Porphyry Island Provincial Park right now,GetWeather,snips_benchmark
I'm in the mood to listen to meditative music.,PlayMusic,snips_benchmark
What is the weather looking like in Prosser on feb. the 18th ?,GetWeather,snips_benchmark
Can I get the Butterfly Crush showings,SearchScreeningEvent,snips_benchmark
Show movie schedules with movies in the neighborhood,SearchScreeningEvent,snips_benchmark
I want Jean-Georges for a party of 2,BookRestaurant,snips_benchmark
when can iw atch Great Balls of Fire! - Vampate di fuoco,SearchScreeningEvent,snips_benchmark
I'm looking for the trailer to Evil or Divine - Live in New York City .,SearchCreativeWork,snips_benchmark
Which cinema can I go to to see Lilly the Witch The Dragon and the Magic Book ?,SearchScreeningEvent,snips_benchmark
Book a table for 1 at RingSide Steakhouse in Hurricane .,BookRestaurant,snips_benchmark
The current textbook Gets 3 stars,RateBook,snips_benchmark
Is there snow in the District Of Columbia,GetWeather,snips_benchmark
search for the trailer The Thieving Magpie,SearchCreativeWork,snips_benchmark
"book a spot for marlene, jordan and I on oct. the 6th",BookRestaurant,snips_benchmark
Rate Decoding Reality 0 points,RateBook,snips_benchmark
find Journal of the Society for American Music,SearchCreativeWork,snips_benchmark
Play Salmonella Dub Dvd by mario rubalcaba on Vimeo,PlayMusic,snips_benchmark
rate the current chronicle five stars,RateBook,snips_benchmark
I would give Feast of the Innocents a value of 1,RateBook,snips_benchmark
Play fifties music on Slacker .,PlayMusic,snips_benchmark
will there be hail in Kaffir,GetWeather,snips_benchmark
Find a painting called Pulsions .,SearchCreativeWork,snips_benchmark
give it a 0 for this essay,RateBook,snips_benchmark
Add an artist to my Hype list,AddToPlaylist,snips_benchmark
What is the weather one second from now in Blue Ridge Berryessa Natural Area,GetWeather,snips_benchmark
where can I find a painting called Battlestations Pacific,SearchCreativeWork,snips_benchmark
Play Rap Album One by Gene Vincent .,PlayMusic,snips_benchmark
Tell me when Howling II Your Sister Is a Werewolf is playing.,SearchScreeningEvent,snips_benchmark
rate the current essay three points,RateBook,snips_benchmark
add this tune to my guest list gamesradar playlist,AddToPlaylist,snips_benchmark
book a spot for 8 at a popular taverna,BookRestaurant,snips_benchmark
What films are playing around here,SearchScreeningEvent,snips_benchmark
Play a 1958 soundtrack by Rudolf Schenker on Netflix .,PlayMusic,snips_benchmark
Add an album to my playlist bachata lovers,AddToPlaylist,snips_benchmark
Where is the closest movie theatre that is playing movies now,SearchScreeningEvent,snips_benchmark
Rate this current novel 5 points,RateBook,snips_benchmark
Is it warm in Vietnam,GetWeather,snips_benchmark
I need to know the forecast for two am in Grand Lake Towne,GetWeather,snips_benchmark
"Will it be even hotter 2 years from now in El Jebel , Niger",GetWeather,snips_benchmark
Show me the weather forecast for the city of Spencer,GetWeather,snips_benchmark
Add Justin McRoberts to this is chopin,AddToPlaylist,snips_benchmark
play the newest ep from the sixties,PlayMusic,snips_benchmark
I need a reservation for 3 at Clinton Street Baking Company & Restaurant,BookRestaurant,snips_benchmark
"book spot for mavis, sheila and I in Syria at elevenses",BookRestaurant,snips_benchmark
Add Mary Wells Sings My Guy to the electro sur playlist.,AddToPlaylist,snips_benchmark
give this a 0 for this book,RateBook,snips_benchmark
Will it be windy at two PM in France ?,GetWeather,snips_benchmark
What movies are going to be screened at Caribbean Cinemas at fourteen o'clock ?,SearchScreeningEvent,snips_benchmark
movie times at Consolidated Theatres,SearchScreeningEvent,snips_benchmark
Play That Stubborn Kinda Fellow by Michael Amott,PlayMusic,snips_benchmark
Rate Shadow of Night a 1,RateBook,snips_benchmark
"find Face the Truth , a TV show",SearchCreativeWork,snips_benchmark
Play me the track Mama Liked The Roses,PlayMusic,snips_benchmark
what is the forecast for Costa Rica,GetWeather,snips_benchmark
"Book a reservation at a restaurant with me, matilda and deana",BookRestaurant,snips_benchmark
Play some Hong Junyang .,PlayMusic,snips_benchmark
Will it be humid in Beedeville on november 20,GetWeather,snips_benchmark
Swine Not ? deserves four points,RateBook,snips_benchmark
Will there be sun around here ?,GetWeather,snips_benchmark
add track to kickass metal,AddToPlaylist,snips_benchmark
Book a table for ten people at a restaurant which serves snack .,BookRestaurant,snips_benchmark
Please search for Sealed with a Kiss movie .,SearchCreativeWork,snips_benchmark
I'd like a table at a top-rated tea house with javanese cuisine this week in Germany,BookRestaurant,snips_benchmark
I'm looking for the television show The Flame,SearchCreativeWork,snips_benchmark
book a spot for 3 in Egypt at five,BookRestaurant,snips_benchmark
Please find me the Olympia 74 soundtrack .,SearchCreativeWork,snips_benchmark
Book a reservation for a southern brazilian restaurant for 10 people within walking distance of Broadway-Lafayette St,BookRestaurant,snips_benchmark
Is it hotter here on Navy Birthday,GetWeather,snips_benchmark
find Andreas Hofer at elevenses,SearchScreeningEvent,snips_benchmark
find me The Seven-Ups,SearchCreativeWork,snips_benchmark
Where and when is Douglas playing?,SearchScreeningEvent,snips_benchmark
"book a restaurant in Clawson , MS for one",BookRestaurant,snips_benchmark
show creativity of The Oxford Companion to Beer TV show,SearchCreativeWork,snips_benchmark
book a table at Serendipity 3 in Veyo for now,BookRestaurant,snips_benchmark
Add Tobias Sammet to my bring back the 90s list,AddToPlaylist,snips_benchmark
Add morten harket to this is puccini,AddToPlaylist,snips_benchmark
How hot will be there in Kanwar Lake Bird Sanctuary tomorrow ?,GetWeather,snips_benchmark
Book a table for 2 at a restaurant in Follett,BookRestaurant,snips_benchmark
Will it be cloudy not far from Allenton,GetWeather,snips_benchmark
Open youtube,PlayMusic,snips_benchmark
What will the weather be in Angle Cape Verde at midnight ?,GetWeather,snips_benchmark
I need a table for 4 in Florida,BookRestaurant,snips_benchmark
the last essay is a 2 out of 6,RateBook,snips_benchmark
I want a list of showings of Days of Fire at Harkins Theatres,SearchScreeningEvent,snips_benchmark
Find a novel called Testing Anywhere .,SearchCreativeWork,snips_benchmark
What movie theatre playing animated movies is the closest,SearchScreeningEvent,snips_benchmark
Rate my current album 5 points,RateBook,snips_benchmark
Find me the song called The Budapest Beacon .,SearchCreativeWork,snips_benchmark
give my current book one of 6 stars,RateBook,snips_benchmark
Book Mars 2112 in Rwanda for 4 people.,BookRestaurant,snips_benchmark
What will be the night temperate in Indiana ?,GetWeather,snips_benchmark
Find the movie schedules for nearby movies .,SearchScreeningEvent,snips_benchmark
movie schedule at Cinemark Theatres,SearchScreeningEvent,snips_benchmark
play Matt Walker tunes,PlayMusic,snips_benchmark
Can you play something from 1966 by Mc Ren on Spotify,PlayMusic,snips_benchmark
book a brasserie for seven in West Yellowstone,BookRestaurant,snips_benchmark
Find the picture of The Harsh Light of Day,SearchCreativeWork,snips_benchmark
Play some dance music.,PlayMusic,snips_benchmark
I need a reservation for 6 PM. with a party of 10 at Sand Lake,BookRestaurant,snips_benchmark
Where can I find information on Brats in Battalions ?,SearchCreativeWork,snips_benchmark
Rate Hocus Bogus a 4 .,RateBook,snips_benchmark
The A Mighty Fortress series should be rated a two,RateBook,snips_benchmark
Find The Gill Deacon Show .,SearchCreativeWork,snips_benchmark
What movies are playing at Dipson Theatres,SearchScreeningEvent,snips_benchmark
Give The Case of Jennie Brice 4 stars out of 6,RateBook,snips_benchmark
this album is the last and rated five,RateBook,snips_benchmark
I'm looking for a job in Inversion,SearchCreativeWork,snips_benchmark
Book a table for nine people in Svalbard and Jan Mayen .,BookRestaurant,snips_benchmark
I need to know the weather seven weeks from now in Morgan–Monroe State Forest,GetWeather,snips_benchmark
I want to give The First Person and Other Stories 0 out of 6 stars,RateBook,snips_benchmark
Find the movie schedule for Great Escape Theatres .,SearchScreeningEvent,snips_benchmark
I give the previous saga 4 out of 6,RateBook,snips_benchmark
When is The Jailbird showing at United Paramount Theatres,SearchScreeningEvent,snips_benchmark
"find Something Crucial , a book",SearchCreativeWork,snips_benchmark
Use the service Itunes to play melody from 1998,PlayMusic,snips_benchmark
Rate Definitely Dead saga 5 points out of 6,RateBook,snips_benchmark
Is there a storm in the weather forecast for Baraga Oregon,GetWeather,snips_benchmark
Weather here at two pm,GetWeather,snips_benchmark
Play the music genre Synthpop,PlayMusic,snips_benchmark
Play some Robbie Merrill .,PlayMusic,snips_benchmark
Open Zvooq and play the best songs from Device,PlayMusic,snips_benchmark
I'm in Bowling Green . Please book a restaurant for 1 close by .,BookRestaurant,snips_benchmark
Book a reservation for my parents and I at Red Crown Tourist Court in Slovakia,BookRestaurant,snips_benchmark
I want to hear Sebastian 's songs from the thirties on Youtube,PlayMusic,snips_benchmark
Show me the movie Operetta for the Theatre Organ,SearchCreativeWork,snips_benchmark
find a movie house with Ulterior Motive that is closest,SearchScreeningEvent,snips_benchmark
"book a restaurant this week for joni, wilda sanders and I in AL",BookRestaurant,snips_benchmark
I am giving the current novel a four out of 6 rating.,RateBook,snips_benchmark
Can you find the show The Dumping Ground Survival Files,SearchCreativeWork,snips_benchmark
Let me get reservations at a place neighboring Indonesia on August the nineteenth .,BookRestaurant,snips_benchmark
find a television show called Sensation Comics,SearchCreativeWork,snips_benchmark
Show me the television show called South California Purples,SearchCreativeWork,snips_benchmark
What's the weather in Mettawa Oklahoma,GetWeather,snips_benchmark
Show me a picture of Love,SearchCreativeWork,snips_benchmark
put Michael Cretu onto my Beach Vibes playlist,AddToPlaylist,snips_benchmark
what films are showing at Century Theatres,SearchScreeningEvent,snips_benchmark
gwen carter and I want a reservation in the Dominican Republic,BookRestaurant,snips_benchmark
I rate The Blood of Others series only five points .,RateBook,snips_benchmark
book a restaurant for four in Trinidad and Tobago,BookRestaurant,snips_benchmark
play any sixties song,PlayMusic,snips_benchmark
Give me a forecast for Carol City,GetWeather,snips_benchmark
"What's the weather forecast for TN on december seventh, 2026 ?",GetWeather,snips_benchmark
put this album in my Fiesta section,AddToPlaylist,snips_benchmark
add The Spine Surfs Alone to my playlist called The Funny Thing About Football Is,AddToPlaylist,snips_benchmark
Play Rock This playlist with Badonviller Marsch,AddToPlaylist,snips_benchmark
Show me the forecast for Anatone Louisiana on November 7th,GetWeather,snips_benchmark
Is there any snowfall in Shubuta,GetWeather,snips_benchmark
I want the photograph of Walt Before Mickey,SearchCreativeWork,snips_benchmark
give zero points out of 6 to The Devil in a Forest,RateBook,snips_benchmark
Play my Masters of Metal playlist on Spotify,PlayMusic,snips_benchmark
Lets go and take elsa and I to Westhampton Beach in 1 hour to the american chinese cuisine at the tea house,BookRestaurant,snips_benchmark
Add the entity Por una cabeza to my playlist Forever Alone,AddToPlaylist,snips_benchmark
play pandora,PlayMusic,snips_benchmark
"find Trauma Center New Blood , an album",SearchCreativeWork,snips_benchmark
What is the Read All About It picture ?,SearchCreativeWork,snips_benchmark
what is the weather forecast this week close-by my current position,GetWeather,snips_benchmark
Add vikku vinayakram to my This Is Nicky Jam,AddToPlaylist,snips_benchmark
Where to buy video game of Think Fast,SearchCreativeWork,snips_benchmark
Play some music from 1989 by Sanjeev Abhyankar .,PlayMusic,snips_benchmark
"Out of 6 , I give the following book zero .",RateBook,snips_benchmark
Can I hear a Da Brat ep ?,PlayMusic,snips_benchmark
find the photograph Canaich,SearchCreativeWork,snips_benchmark
Put The Orange and the Green on Los 40 Radio Éxitos,AddToPlaylist,snips_benchmark
Use Deezer to play the last song from Lee Dorrian,PlayMusic,snips_benchmark
When is Beyond My Reach scheduled at the nearest cinema ?,SearchScreeningEvent,snips_benchmark
Book a table for a party of 7 next year in ID .,BookRestaurant,snips_benchmark
play Are & Be,PlayMusic,snips_benchmark
Show me the picture The afternoon,SearchCreativeWork,snips_benchmark
Play Dave Mason 's soundtrack on Last Fm .,PlayMusic,snips_benchmark
What will the weather be in the Flight Park State Recreation Area ?,GetWeather,snips_benchmark
Book me a bar that's highly rated for georgia and I in Burkina,BookRestaurant,snips_benchmark
For the book The Sting of the Scorpion I give three of a possiable 6 rating,RateBook,snips_benchmark
PLpay the top ten track from Asia Nitollano on spotify .,PlayMusic,snips_benchmark
add ali lohan songs in Club Hits,AddToPlaylist,snips_benchmark
Add song to my underground hits,AddToPlaylist,snips_benchmark
add Chris de Burgh in my playlist melancholia,AddToPlaylist,snips_benchmark
I want to give this current textbook 4 points .,RateBook,snips_benchmark
find me a game called Thesis Eleven,SearchCreativeWork,snips_benchmark
Play me a twenties song,PlayMusic,snips_benchmark
Give me the movie times at Warren Theatres .,SearchScreeningEvent,snips_benchmark
add gina schock to workout twerkout,AddToPlaylist,snips_benchmark
show creativity of The House of the Dead,SearchCreativeWork,snips_benchmark
Play the last Wellman Braud album relaesd,PlayMusic,snips_benchmark
rate The Practice of the Presence of God one of 6 points,RateBook,snips_benchmark
Rate In Enemy Hands five stars out of 6,RateBook,snips_benchmark
Will there be a storm on Christmas Day in my current place ?,GetWeather,snips_benchmark
what's the closest movie theatre showing Harbour Beat,SearchScreeningEvent,snips_benchmark
Is it warm faraway in Niger ?,GetWeather,snips_benchmark
Add a jacob miller album to my Hardcore Punk playlist.,AddToPlaylist,snips_benchmark
"What is the weather looking like for December the eleventh, 2034 in MD",GetWeather,snips_benchmark
I'd like a table for my step grandfather and I at Five Fifty-Five in NV,BookRestaurant,snips_benchmark
find movie times,SearchScreeningEvent,snips_benchmark
add Dying Mapa I to Más Que Amigos,AddToPlaylist,snips_benchmark
"Please find the novel , Good Doctor",SearchCreativeWork,snips_benchmark
What cinema is playing The White Stadium ?,SearchScreeningEvent,snips_benchmark
add track to my spring playlist,AddToPlaylist,snips_benchmark
give one point to Compendium of Analytical Nomenclature,RateBook,snips_benchmark
add scott putesky to concentración indie rock playlist,AddToPlaylist,snips_benchmark
is Agnew United States has chilly weather,GetWeather,snips_benchmark
ad artist to sxsw latin my playlist,AddToPlaylist,snips_benchmark
Find time for Enkitta Mothathe at Pacific Theatres,SearchScreeningEvent,snips_benchmark
I want to listen to the song Shamus,SearchCreativeWork,snips_benchmark
Please play Kabhi Jo Baadal Barse by Ruth Lorenzo,PlayMusic,snips_benchmark
give two points out of 6 to this novel,RateBook,snips_benchmark
what are the movie schedules for Great Escape Theatres,SearchScreeningEvent,snips_benchmark
Lets see the TV series 7even Year Itch .,SearchCreativeWork,snips_benchmark
Play a record from the seventies,PlayMusic,snips_benchmark
Play some Laurie Anderson .,PlayMusic,snips_benchmark
play some sad songs from the fifties,PlayMusic,snips_benchmark
Please rate The Lightning of August five points .,RateBook,snips_benchmark
What films are playing at the closest cinema,SearchScreeningEvent,snips_benchmark
something on Spotify please,PlayMusic,snips_benchmark
What movies can I see in the area ?,SearchScreeningEvent,snips_benchmark
Fine movie times for Loews Cineplex Entertainment .,SearchScreeningEvent,snips_benchmark
Rate this essay 1 stars,RateBook,snips_benchmark
Find WxHexEditor .,SearchCreativeWork,snips_benchmark
Rate A Conspiracy of Paper 4 of 6,RateBook,snips_benchmark
play drive playlist,PlayMusic,snips_benchmark
How will the weather be different 5 years from now in Waconia ?,GetWeather,snips_benchmark
add doing all right to string theory,AddToPlaylist,snips_benchmark
play Punk Essentials on Zvooq,PlayMusic,snips_benchmark
Is it cloudy in Vermont on 063026 pm,GetWeather,snips_benchmark
Rate the current book 1 points,RateBook,snips_benchmark
Let's hear stuff from Andrew Hewitt .,PlayMusic,snips_benchmark
book a restaurant for 8,BookRestaurant,snips_benchmark
add steve winwood to my playlist old school metal,AddToPlaylist,snips_benchmark
I want to add Mark Boston to my Power Walk list,AddToPlaylist,snips_benchmark
What movies are scheduled at Plitt Theatres ?,SearchScreeningEvent,snips_benchmark
add Días Felices to my todo reggaeton playlist,AddToPlaylist,snips_benchmark
I need a reservation for a restaurant that serves cupcakes in OH,BookRestaurant,snips_benchmark
Let me use netflix to listen to the last soundtrack from Out Of Eden .,PlayMusic,snips_benchmark
Add a track by flesh n bone to my totally alternative playlist.,AddToPlaylist,snips_benchmark
rate this book saga 3 out of 6 stars,RateBook,snips_benchmark
find a painting called Screen Souvenirs,SearchCreativeWork,snips_benchmark
book a brasserie with parking for 1,BookRestaurant,snips_benchmark
Search for Teenage Mutant Hero Turtles Fall of the Foot Clan photograph,SearchCreativeWork,snips_benchmark
give me the movie schedule for films in the area,SearchScreeningEvent,snips_benchmark
I need to add to the all things post starting with my favorites from the silence,AddToPlaylist,snips_benchmark
How can I see the show Pulse 2 Afterlife ?,SearchCreativeWork,snips_benchmark
give zero point to this textbook,RateBook,snips_benchmark
Please open pandora for me,PlayMusic,snips_benchmark
Can you put a song by jessica mauboy on my playlist entitled a sudden rainstorm,AddToPlaylist,snips_benchmark
rate the current chronicle series 4 out of 6 points,RateBook,snips_benchmark
Book a restaurant in Palestine for 8 people at 9 AM,BookRestaurant,snips_benchmark
Can you locate the saga for the Ringo Sheena discography,SearchCreativeWork,snips_benchmark
Give this album a rating of 4 .,RateBook,snips_benchmark
is Saint Robert hotter than Turkmenistan,GetWeather,snips_benchmark
