text,category_truth
I rate The Blood of Others series only five points .,RateBook
Find the song called International Journal of Bilingualism,SearchCreativeWork
I need to book a restaurant in Sunnybrook for 7,BookRestaurant
Add brad kane to the Pumping Iron soundtrack.,AddToPlaylist
Let me get reservations at a place neighboring Indonesia on August the nineteenth .,BookRestaurant
I give the previous series four stars .,RateBook
Play That Stubborn Kinda Fellow by Michael Amott,PlayMusic
Book a table for 1 at RingSide Steakhouse in Hurricane .,BookRestaurant
What animated movies are playing at the closest movie theatre,SearchScreeningEvent
Would you put hammer onto the lunch playlist?,AddToPlaylist
Where can I see the movie Across the Line The Exodus of Charlie Wright ?,SearchCreativeWork
Find a painting called Boating on the River Epte .,SearchCreativeWork
show movie schedules at Megaplex Theatres,SearchScreeningEvent
add doing all right to string theory,AddToPlaylist
"book a restaurant in Clawson , MS for one",BookRestaurant
rate the current essay three points,RateBook
Rate Decoding Reality 0 points,RateBook
Find The Way West show,SearchCreativeWork
Add an artist to my playlist Domingo Indie,AddToPlaylist
For the book The Sting of the Scorpion I give three of a possiable 6 rating,RateBook
table for 5 AM . at Baker’s Keyboard Lounge,BookRestaurant
I'm looking for a job in Inversion,SearchCreativeWork
Rate Shadow of Night a 1,RateBook
Can you find the show The Dumping Ground Survival Files,SearchCreativeWork
put kan on my Indie Rock Road Trip,AddToPlaylist
Please rate The Lightning of August five points .,RateBook
I need a table for 4 in Florida,BookRestaurant
Play Dave Mason 's soundtrack on Last Fm .,PlayMusic
Play a fifties album on Itunes .,PlayMusic
Will there be sun around here ?,GetWeather
add tolmatschowa schwestern to my Street Dance playlist,AddToPlaylist
add Muzika za decu to my Crash Course playlist,AddToPlaylist
find movie times,SearchScreeningEvent
Give The Case of Jennie Brice 4 stars out of 6,RateBook
will you add Pat Kirtley to my covered in punk playlist,AddToPlaylist
What cinema is playing The White Stadium ?,SearchScreeningEvent
Find time for Enkitta Mothathe at Pacific Theatres,SearchScreeningEvent
Need to book a restaurnt for a party of nine on Thomas Jefferson's Birthday,BookRestaurant
What will the weather be in Allenwood ?,GetWeather
Give me the showtimes for animated movies at the nearest cinema .,SearchScreeningEvent
What films are playing around here,SearchScreeningEvent
I want the photograph of Walt Before Mickey,SearchCreativeWork
Play Eddie Meduza from the thirties,PlayMusic
Will it be warm in the current place next spring,GetWeather
What movies can I see in the area ?,SearchScreeningEvent
"book spot for mavis, sheila and I in Syria at elevenses",BookRestaurant
Will it get hotter around elevenses in KS ?,GetWeather
What's the weather forecast for Austin Liechtenstein,GetWeather
At four pm . I need a table for 8 at a restaurant in Guernsey that serves salade .,BookRestaurant
"Is it humid in Caddo Mills , KY ?",GetWeather
Can I get the showings for Mysterious Crossing ?,SearchScreeningEvent
Can you locate the saga for the Ringo Sheena discography,SearchCreativeWork
What films are playing at Goodrich Quality Theaters,SearchScreeningEvent
Book a tea place at seven,BookRestaurant
Is it snowy in Ocean Shores,GetWeather
find The Dead Matter at Speakeasy Theaters,SearchScreeningEvent
Rate In Enemy Hands five stars out of 6,RateBook
play a tune from 1973,PlayMusic
Open Youtube and play Connie Francis Sings Spanish And Latin American Favorites from Yukiko Iwai,PlayMusic
Tell me when Howling II Your Sister Is a Werewolf is playing.,SearchScreeningEvent
I want to give this current textbook 4 points .,RateBook
I want to give the current novel 4 stars,RateBook
"find Face the Truth , a TV show",SearchCreativeWork
I would like to book a restaurant for souvlaki cuisine in the state of NE,BookRestaurant
find movies at Amco Entertainment starting in 8 seconds from now,SearchScreeningEvent
What is the weather in Arkansas the city of Morrison,GetWeather
give 4 out of 6 points to current essay,RateBook
Play some Hong Junyang .,PlayMusic
I'd like to book 4 seats at a restaurant .,BookRestaurant
Please find me the Olympia 74 soundtrack .,SearchCreativeWork
Check the forecast for Natchaug State Forest,GetWeather
add ali lohan songs in Club Hits,AddToPlaylist
Book a restaurant in Palestine for 8 people at 9 AM,BookRestaurant
I want to hear Major Harris 's songs from the fifties,PlayMusic
Show me when and where I can see Song of Summer,SearchScreeningEvent
show creativity of The House of the Dead,SearchCreativeWork
Where can I find information on Brats in Battalions ?,SearchCreativeWork
is Saint Robert hotter than Turkmenistan,GetWeather
I give the current textbook 0 of 6 points,RateBook
Open youtube,PlayMusic
Can you play the latest faust soundtrack from 1967 ?,PlayMusic
Add a track by flesh n bone to my totally alternative playlist.,AddToPlaylist
Add LA Woman to my soul lounge playlist.,AddToPlaylist
Play some Psychedelic Rock .,PlayMusic
find films in the neighborhood,SearchScreeningEvent
add Días Felices to my todo reggaeton playlist,AddToPlaylist
"find Remedial Chaos Theory , a soundtrack",SearchCreativeWork
Will it be windy at two PM in France ?,GetWeather
Play some Laurie Anderson .,PlayMusic
Find a novel called Testing Anywhere .,SearchCreativeWork
Is it warm in the current spot ?,GetWeather
I want to hear some Boris Grebenchtchikov on Zvooq,PlayMusic
For my playlist Latin Pop Rising add Aira Yuhki,AddToPlaylist
Will there be a storm on Christmas Day in my current place ?,GetWeather
Rate the current essay 0 .,RateBook
I need a reservation for Harveys this Winter in neighboring Wisconsin for terri and I,BookRestaurant
rate The Prince of Providence 2 points,RateBook
I'm looking for the television show The Flame,SearchCreativeWork
"What's the weather forecast for TN on december seventh, 2026 ?",GetWeather
find a movie house with Ulterior Motive that is closest,SearchScreeningEvent
Show me the television show called South California Purples,SearchCreativeWork
search for the trailer The Thieving Magpie,SearchCreativeWork
Is there any snowfall in Shubuta,GetWeather
Where is the nearest cinema playing Rainbow Eyes that starts in one minute ?,SearchScreeningEvent
what is the weather forecast this week close-by my current position,GetWeather
play Zvooq latest track by Peter Appleyard,PlayMusic
play any sixties song,PlayMusic
add gina schock to workout twerkout,AddToPlaylist
Play some dance music.,PlayMusic
Is it warm faraway in Niger ?,GetWeather
What movie theatre playing animated movies is the closest,SearchScreeningEvent
book a table at Serendipity 3 in Veyo for now,BookRestaurant
Can I get the Butterfly Crush showings,SearchScreeningEvent
I want to listen to the song Shamus,SearchCreativeWork
book a restaurant for 8,BookRestaurant
Rate the Why Is Sex Fun? saga two of 6,RateBook
the stars total 6 but Journey Under the Midnight Sun gets a four,RateBook
What is the weather forecast for New Mexico,GetWeather
what films are showing at Century Theatres,SearchScreeningEvent
put Michael Cretu onto my Beach Vibes playlist,AddToPlaylist
Can you find me Cracks the Safe ?,SearchCreativeWork
read the novel Friend The Great Legacy,SearchCreativeWork
find Italy Has Awakened at a Goodrich Quality Theaters,SearchScreeningEvent
Where is Road to the Stage playing,SearchScreeningEvent
give me the movie schedule for films in the area,SearchScreeningEvent
Is it warm in Vietnam,GetWeather
Can you book me a table for 9 in DE ?,BookRestaurant
Add morten harket to this is puccini,AddToPlaylist
Will it be humid in Beedeville on november 20,GetWeather
Fine movie times for Loews Cineplex Entertainment .,SearchScreeningEvent
Play Thelma Aoyama 's latest concerto,PlayMusic
Can you put a song by jessica mauboy on my playlist entitled a sudden rainstorm,AddToPlaylist
Play Salmonella Dub Dvd by mario rubalcaba on Vimeo,PlayMusic
I need to add another track to my cleaning playlist.,AddToPlaylist
Find the schedule for Death Valley Manhunt .,SearchScreeningEvent
Is The Ghost Breakers playing at Plitt Theatres in two hours,SearchScreeningEvent
Give this album a rating of 4 .,RateBook
Which movies are showing at Southern Theatres ?,SearchScreeningEvent
what is the forecast for Costa Rica,GetWeather
When is Beyond My Reach scheduled at the nearest cinema ?,SearchScreeningEvent
what are the movie schedules for Great Escape Theatres,SearchScreeningEvent
Add the entity Por una cabeza to my playlist Forever Alone,AddToPlaylist
"Play the playlist, Hardstyle, Baby .",PlayMusic
Where to buy video game of Think Fast,SearchCreativeWork
book a brasserie for seven in West Yellowstone,BookRestaurant
I want Jean-Georges for a party of 2,BookRestaurant
show me movie times at my local theater.,SearchScreeningEvent
Add vikku vinayakram to my This Is Nicky Jam,AddToPlaylist
play the newest ep from the sixties,PlayMusic
add people take pictures of each other to Rhythm and Blues playlist,AddToPlaylist
rate The Practice of the Presence of God one of 6 points,RateBook
Open Spotify and play a song from the twenties by Richard Harvey,PlayMusic
How will the weather be different 5 years from now in Waconia ?,GetWeather
find me a game called Thesis Eleven,SearchCreativeWork
What animated movies are around here,SearchScreeningEvent
add songs tune in Reggae Infusions,AddToPlaylist
book in Romania for christian and susana at David Carpenter House,BookRestaurant
play pandora,PlayMusic
Rate this textbook a three,RateBook
Find the movie schedule for Great Escape Theatres .,SearchScreeningEvent
Use netflix to play a record by Emil Gilels from year 2015,PlayMusic
Rate my current album 5 points,RateBook
Find the picture of The Harsh Light of Day,SearchCreativeWork
Rate this essay 1 stars,RateBook
I'd like a table for my step grandfather and I at Five Fifty-Five in NV,BookRestaurant
is Agnew United States has chilly weather,GetWeather
Can you play something from 1966 by Mc Ren on Spotify,PlayMusic
What's the weather forecast for Porphyry Island Provincial Park right now,GetWeather
what is the ME forecast for Joanna,GetWeather
Show me a copy of the picture Double Deal .,SearchCreativeWork
Book a table for nine people in Svalbard and Jan Mayen .,BookRestaurant
What is the Read All About It picture ?,SearchCreativeWork
I want to book a table for me and my boss at Glassy Junction in Turkey .,BookRestaurant
give zero points out of 6 to The Devil in a Forest,RateBook
Please add tobymac 's song onto the indiespensables playlist.,AddToPlaylist
I would give Feast of the Innocents a value of 1,RateBook
Rate Wolves Eat Dogs 5 out of 6 points,RateBook
Book the Atomic Cafe for ten people.,BookRestaurant
For my playlist Wild Country add a great day for freedom,AddToPlaylist
find Andreas Hofer at elevenses,SearchScreeningEvent
add this tune to my guest list gamesradar playlist,AddToPlaylist
put this album in my Fiesta section,AddToPlaylist
I'm in the mood to listen to meditative music.,PlayMusic
Book an outdoor restaurant .,BookRestaurant
Find a game called The Guyra Ghost Mystery .,SearchCreativeWork
I need a reservation for 6 PM. with a party of 10 at Sand Lake,BookRestaurant
Play my inventive playlist,PlayMusic
add manuelita to my indiespensables playlist,AddToPlaylist
Play the top caleigh peters .,PlayMusic
Play some twenties chant music on Slacker,PlayMusic
I need to know the forecast for two am in Grand Lake Towne,GetWeather
Play a popular chant by Brian Epstein,PlayMusic
The A Mighty Fortress series should be rated a two,RateBook
What movies are playing at Dipson Theatres,SearchScreeningEvent
find a video game called The Yellow Claw,SearchCreativeWork
add digging now to my Young at Heart playlist,AddToPlaylist
add Chris de Burgh in my playlist melancholia,AddToPlaylist
I want to give Gay Male Pornography An Issue of Sex Discrimination a 1,RateBook
What time is A Man for Burning playing,SearchScreeningEvent
Will there be a lot of sun in Dry Prong Somalia at 5 pm,GetWeather
What movie theatre is playing Shed No Tears,SearchScreeningEvent
The current textbook Gets 3 stars,RateBook
Play hanging in the balance by Nik Kershaw on Zvooq .,PlayMusic
Where is the closest movie theatre that is playing movies now,SearchScreeningEvent
Find the movie schedules,SearchScreeningEvent
Give this series 4 stars,RateBook
Add an album to my playlist bachata lovers,AddToPlaylist
this album is the last and rated five,RateBook
add this track to my party playlist,AddToPlaylist
give this book a rating of 3,RateBook
rate the book series Sons of Destiny a five,RateBook
What is the TV show Journal of Personality and Social Psychology ?,SearchCreativeWork
Book a table for ten people at a restaurant which serves snack .,BookRestaurant
add joan wasser to running playlist,AddToPlaylist
"Out of 6 , I give the following book zero .",RateBook
Play some Robbie Merrill .,PlayMusic
Rate this album a 3,RateBook
evangeline and petra cooper want to go to a restaurant in 9 years,BookRestaurant
add little pattie track in Nu Metal,AddToPlaylist
Is Sheikh Chilli playing,SearchScreeningEvent
Rate this current novel 5 points,RateBook
What is the television show Phil Ochs There but for Fortune playing,SearchCreativeWork
I want to hear a top-50 track from Takahito Eguchi on Google Music,PlayMusic
Book a popular restaurant for two which is distant from Avalon .,BookRestaurant
is it going to be chilly on 12/13/2025 in Haugan Pakistan,GetWeather
What is the weather like in Great Bay National Wildlife Refuge ?,GetWeather
Find and book me a taverna restaurant in Gilluly that serves lobster newberg,BookRestaurant
rate this book saga 3 out of 6 stars,RateBook
find a painting called Screen Souvenirs,SearchCreativeWork
Book a reservation for a southern brazilian restaurant for 10 people within walking distance of Broadway-Lafayette St,BookRestaurant
Play a 1958 soundtrack by Rudolf Schenker on Netflix .,PlayMusic
Use the service Itunes to play melody from 1998,PlayMusic
Find the Rewind the Film TV show,SearchCreativeWork
I want to give Select Conversations with an Uncle 5 stars,RateBook
book a restaurant for four in Trinidad and Tobago,BookRestaurant
add this track to my Hands Up playlist,AddToPlaylist
Show me the weather forecast for the city of Spencer,GetWeather
what is the weather forecast for Åland,GetWeather
I need a reservation for 3 at Clinton Street Baking Company & Restaurant,BookRestaurant
"Please find the novel , Good Doctor",SearchCreativeWork
Rate this album 2 stars,RateBook
add steve winwood to my playlist old school metal,AddToPlaylist
What will the weather be in Angle Cape Verde at midnight ?,GetWeather
I need a reservation for a restaurant that serves cupcakes in OH,BookRestaurant
What is the weather forecast for my current position,GetWeather
What is the weather looking like in Prosser on feb. the 18th ?,GetWeather
Look for the Learning & Behavior picture,SearchCreativeWork
Which cinema can I go to to see Lilly the Witch The Dragon and the Magic Book ?,SearchScreeningEvent
How hot will be there in Kanwar Lake Bird Sanctuary tomorrow ?,GetWeather
Rate the current book 1 points,RateBook
