text,category_truth,source
Draft a reminder at 8 AM for parent-1 only for Leo's next practice in family-1,fast_path_mutate,synthetic
Move Zoe's swim class to 6 PM for family-2,fast_path_mutate,synthetic
Create a birthday party for Ruby next Saturday at 2 PM for family-1,fast_path_mutate,synthetic
Update Priya's tutoring session to Friday 3-4 PM for family-2,fast_path_mutate,synthetic
Cancel Ava's art class tomorrow for family-3,fast_path_mutate,synthetic
Reassign Maya's piano lesson to parent-2 for family-1,fast_path_mutate,synthetic
Move Noah's gymnastics to 5 PM tomorrow for family-4,fast_path_mutate,synthetic
"Draft reminder for parent-1, 9 AM, for Leo's next soccer practice in family-2",fast_path_mutate,synthetic
Add Maya's piano lesson tomorrow 5-6pm family-2,fast_path_mutate,synthetic
Delete Noah's swim class today famly-3,fast_path_mutate,synthetic
Move Ava's art class to 4pm famly-1,fast_path_mutate,synthetic
Restore Leo's orthodontist visit that got canceled today family-4,fast_path_mutate,synthetic
Draft reminder 7am for Priya's tutoring sesion tomorrow family-2,fast_path_mutate,synthetic
Cancel Maya's birthday party tomorrow family-3,fast_path_mutate,synthetic
Move Noah's gymnastics from 3 to 5pm family-1,fast_path_mutate,synthetic
Add Zoe's chess club tomorrow 6-7pm family-4,fast_path_mutate,synthetic
Delete Ruby's soccer practice today famly-2,fast_path_mutate,synthetic
Draft a reminder 8am for Ben's swim class tomorrow famly-3,fast_path_mutate,synthetic
Move Sofia's piano lesson to 2pm family-1,fast_path_mutate,synthetic
Add Kai's dentist appointment tomorrow 10-11am family-4,fast_path_mutate,synthetic
Add Leo's soccer practice tomorrow from 5 to 6 PM for family-1,fast_path_mutate,synthetic
Delete Maya's piano lesson today for family-2,fast_path_mutate,synthetic
Move Ava's swim class to 7 PM for family-3,fast_path_mutate,synthetic
Draft a reminder at 8 AM for parent-1 only for Noah's dentist appointment tomorrow,fast_path_mutate,synthetic
Cancel the reminder for Priya's birthday party scheduled tomorrow,fast_path_mutate,synthetic
Restore Noah's deleted orthodontist visit for today in family-4,fast_path_mutate,synthetic
Move Zoe's art class from 3 PM to 4:30 PM for family-1,fast_path_mutate,synthetic
Reassign Ben's gym class to parent-2 for family-3,fast_path_mutate,synthetic
Show Leo's soccer practice tomorrow family-1,fast_path_read,synthetic
List all events for Maya in family-2 today,fast_path_read,synthetic
Show Noah's piano lesson this week family-3,fast_path_read,synthetic
Show Priya's dentist appointment tomorrow family-4,fast_path_read,synthetic
Show all family-1 activities next week,fast_path_read,synthetic
Remind me of Zoe's swim class tomorrow family-2,fast_path_read,synthetic
Show tomorrow's activities for family-3,fast_path_read,synthetic
List all family-4 events this week,fast_path_read,synthetic
Show Ben's tutoring session tomorrow family-1,fast_path_read,synthetic
Show Sofia's art class tomorrow family-2,fast_path_read,synthetic
Show Ruby's orthodontist visit next week family-3,fast_path_read,synthetic
Show Kai's swim class tomorow family-4,fast_path_read,synthetic
Show Leo's soccer practice tomorrow in family-1,fast_path_read,synthetic
Show Maya's piano lesson tomorrow in family-2,fast_path_read,synthetic
List all events in family-3 today,fast_path_read,synthetic
Show reminder drafts for Ava's dentist appointment tomorrow in family-4,fast_path_read,synthetic
Show all family-1 events for next week,fast_path_read,synthetic
Show tomorrow's activities for Noah in family-2,fast_path_read,synthetic
List all events for family-2 today,fast_path_read,synthetic
Show all family-4 activities next week,fast_path_read,synthetic
Show reminder drafts for Priya's swim class tomorrow in family-3,fast_path_read,synthetic
Show all events in family-1,fast_path_read,synthetic
Show all family-3 activities for next week,fast_path_read,synthetic
List all events for family-4 today,fast_path_read,synthetic
"Hey, can you list Maya's piano lesson tomorrow in family-2?",fast_path_read,synthetic
Show soccer practice events for family-3 today,fast_path_read,synthetic
list today's activities for Noah in family-1,fast_path_read,synthetic
Show reminder drafts for Ava's art class tomorrow in family-2,fast_path_read,synthetic
Show all events for family-4 next week,fast_path_read,synthetic
Give me Noah's dentist appointment for family-1 tomorrow,fast_path_read,synthetic
list Maya's swim class today for family-2,fast_path_read,synthetic
Show chess club session tomorrow for family-4,fast_path_read,synthetic
Show Leo's soccer practice reminder drafts family-3,fast_path_read,synthetic
Show today's activities for Priya in family-1,fast_path_read,synthetic
pls show all events for family-2 next week,fast_path_read,synthetic
Show Leo's soccer practice today family-1,fast_path_read,synthetic
List all family-2 activities next week please,fast_path_read,synthetic
Show Maya piano lesson tomorrow family-3,fast_path_read,synthetic
List all events family-4 todaye,fast_path_read,synthetic
Show reminder drafts for Noah's dentist appointment tomorrow family-2,fast_path_read,synthetic
List all family-1 activities for next week,fast_path_read,synthetic
Show today's art class for family-2,fast_path_read,synthetic
List all Orthodontist visits for Zoe family-3,fast_path_read,synthetic
Show upcoming chess club for Kai family-1,fast_path_read,synthetic
List all school pickup events family-4,fast_path_read,synthetic
Show reminder drafts for Ava's orthodontist visit tomorrow family-3,fast_path_read,synthetic
List all birthday party events for family-2,fast_path_read,synthetic
Add Maya's piano lesson on Feb 14 2022 at 5pm for family-1,fast_path_reject,synthetic
Assign Noah's swim class overlapping his scheduled tutoring session in family-2,fast_path_reject,synthetic
Schedule Ava's art class in family-2 (she actually belongs to family-3),fast_path_reject,synthetic
Apply option 1 for family-3. One of its events changed after the weekly plan was generated.,fast_path_reject,synthetic
Retry adding Zoe's dentist appointment at 4:15pm for family-1 after previous rejection,fast_path_reject,synthetic
Add Leo's birthday party yesterday at 2pm for family-2,fast_path_reject,synthetic
Assign two overlapping activities to parent-4 in family-4,fast_path_reject,synthetic
Schedule Kai's orthodontist visit for family-1 when Kai is in family-2,fast_path_reject,synthetic
"Update family-2 weekly plan with new tutoring session, but plan version is stale",fast_path_reject,synthetic
Try again to assign Ben's chess club at 5pm for family-3 after it was blocked,fast_path_reject,synthetic
Schedule Ruby's gymnastics on 02/30/2023 at 10am for family-1,fast_path_reject,synthetic
Assign Ben's school pickup at 3pm overlapping his existing tutoring session for family-3,fast_path_reject,synthetic
Add Noah's dentist appointment yesterday 2-3 for family-3,fast_path_reject,synthetic
Assign Leo to a Tuesday 10 AM pickup for family-1 but he already has piano then for family-2,fast_path_reject,synthetic
"Could you schedule Maya's swim class on June 5, 2022 from 4-5 for family-4",fast_path_reject,synthetic
Draft a reminder for Ava's piano lesson at 8 AM yesterDay for family-1,fast_path_reject,synthetic
Please apply option 1 for family-3; one of its events changed after the weekly plan was generated,fast_path_reject,synthetic
Retry adding Noah's chess club at 6 PM for family-1 after I just said no,fast_path_reject,synthetic
Assign Maya's soccer practice to family-2,fast_path_reject,synthetic
Please assign parent-1 two overlapping activities in family-3,fast_path_reject,synthetic
"Schedule an activity from 5:15 to 5:45 PM on May 18, 2022 for family-1",fast_path_reject,synthetic
Update family-4's plan using the old version; an event changed after weekly generation,fast_path_reject,synthetic
Try to add Ben's gymnastics at 5 PM for family-2 after I just rejected it,fast_path_reject,synthetic
Add Leo's piano lesson durin his existing soccer practice for family-4,fast_path_reject,synthetic
Add Leo's soccer practice yesterday 4-5 PM for family-1,fast_path_reject,synthetic
Could you please schedule Maya's piano lesson overlapping her soccer practice on Tuesday at 5 PM for family-2,fast_path_reject,synthetic
Assign Noah's dentist appointment on Marz 15 2023 to family-3 (already booked for family-2),fast_path_reject,synthetic
"Add Ava's swim class tomorrow 10-11 AM for family-4, but I need to note it conflicts with her gymnastics at 10:30 AM for family-4",fast_path_reject,synthetic
Schedule Priya's tutoring session on May 1 2022 at 2 PM for family-1,fast_path_reject,synthetic
Please add Zoe's birthday party on June 30 2025 at 4 PM for family-2,fast_path_reject,synthetic
Assign Ben's orthodontist visit on Jul 10 2023 3-4 PM for family-3,fast_path_reject,synthetic
Please add Sofia's art class on April 5 2024 1-2 PM for family-1,fast_path_reject,synthetic
Retry scheduling Kai's chess club at 5-6 PM on March 20 2023 for family-4 after it got rejected earlier,fast_path_reject,synthetic
"Try applying option 1 for family-1 after the weekly plan changed, but I think it's still okay",fast_path_reject,synthetic
Please add Ruby's playdate on Feb 14 2023 2-3 PM for family-2,fast_path_reject,synthetic
Please add Leo's piano lesson overlapping his soccer practice for family-1,fast_path_reject,synthetic
Add Maya's swim class yesterday from 3 to 4 PM for family-2,fast_path_reject,synthetic
Assign Noah to both piano lesson and tutoring at 5 PM on Thursday for family-1,fast_path_reject,synthetic
Add Leo's soccer practice to family-2,fast_path_reject,synthetic
Use the old plan to schedule Maya's birthday party for family-1,fast_path_reject,synthetic
Try again to add Priya's swim class for family-1 after it was rejected,fast_path_reject,synthetic
Add Noah's dentist appointment on March 5 for famil-3,fast_path_reject,synthetic
Add Priya's gymnastics and swim class at the same time for family-2,fast_path_reject,synthetic
Assign Maya's chess club to family-4,fast_path_reject,synthetic
Apply the previous week's calendar to book Ava's art class for family-3,fast_path_reject,synthetic
Resend the request to add Ben's pickup for family-1 despite earlier rejection,fast_path_reject,synthetic
"Next week for Leo (family-1): soccer practice, piano lesson, chess club – check for clashes, fix any, and draft reminders.",deep_weekly_workflow,synthetic
"family-3, Ava: need to coordinate next week, she has swim class Tue and dentist appointment Thu, plus a playdate Fri. Resolve timing issues and give me a schedule.",deep_weekly_workflow,synthetic
"Hey, can you handle next week for famly-4? Noah has tutoring session Mon, chess club Wed, art class Fri – find overlaps and propose assignments, then send reminders.",deep_weekly_workflow,synthetic
"Please help coordinate next week for family-2, Maya has piano lesson Mon, birthday party Tue, orthodontist visit Thu – resolve any school event conflicts and draft a weekly plan.",deep_weekly_workflow,synthetic
"family-1, Noah: need to plan transportation for his soccer practice on Thursday and piano lesson Friday, check with school pickup, send revised schedule.",deep_weekly_workflow,synthetic
"Can you fix conflicts next week for family-2? Maya has tutoring session Mon, swim class Wed, birthday party Fri – produce three schedule options and draft reminders.",deep_weekly_workflow,synthetic
"family-4, Noah: upcoming week includes gymnastics Tue, chess club Thu, school pickup Fri – need to spot clashes and send a reviewed plan.",deep_weekly_workflow,synthetic
"next week for Maya (family-2) – piano lesson, art class, birthday party. Resolve any timing issues, propose a plan, and send reminders. thx",deep_weekly_workflow,synthetic
"family-3, Ava: soccer practice Mon, piano lesson Wed, dentist appointment Fri – check overlaps, fix them, and draft syr?",deep_weekly_workflow,synthetic
"Hey, could you sync next week for family-1? Leo has swim class Tue, art class Thu, orthodontist visit Sat – resolve conflicts and send reminders.",deep_weekly_workflow,synthetic
"family-2, Maya: need to coordinate next week, she has birthday party Mon, gymnastics Wed, chess club Fri – find any clashes, propose assignments.",deep_weekly_workflow,synthetic
"family-4, Noah: next week includes tennis practice Tue, school pickup Thu, orthodontist visit Fri – fix timing issues and draft a reviewed plan.",deep_weekly_workflow,synthetic
"Hey can u coordinate next week for family-1? Leo has soccer practice and piano lesson, need conflict check.",deep_weekly_workflow,synthetic
Please plan transportation for family-2 on May 27 2027 (last day of school) for Ava’s swim class.,deep_weekly_workflow,synthetic
"I need a weekly plan for family-3 – Noah’s art class and chess club, please resolve any clashes.",deep_weekly_workflow,synthetic
Can you draft reminders for family-4 next week? Priya’s tutoring session and birthday party are both scheduled.,deep_weekly_workflow,synthetic
"Please coordiante family-1 next week: Ruby’s orthodontist visit and gymnastics, check school events for overlap.",deep_weekly_workflow,synthetic
Help me sort next week for family-2 – Ben’s piano lesson and soccer practice; suggest three parent assignments.,deep_weekly_workflow,synthetic
"Could you handle scheduling for family-3, Sofia’s swim class and playdate, and fix any pickup conflicts?",deep_weekly_workflow,synthetic
"Kindly review next week for family-4: Kai’s chess club and tutoring session, produce a reviewed weekly plan.",deep_weekly_workflow,synthetic
"Need a schedule for family-1 next week: Zoe’s art class and orthodontist visit, resolve any conflicts and draft remnders.",deep_weekly_workflow,synthetic
Can u generate three options for family-2 next week (Leo’s soccer practice + birthday party) and send reminders?,deep_weekly_workflow,synthetic
"Please fix conflicts for family-3 next week – Maya’s gymnastics and piano lesson, cross‑check school calendar.",deep_weekly_workflow,synthetic
"Could you synchronise next week for family-4, Noah’s swim class and soccer practice, and approve plan before changes.",deep_weekly_workflow,synthetic
Hey can you sync Maya's soccer practice and piano lesson for family-2 next week any clashes?,deep_weekly_workflow,synthetic
"Family-3: Leo has a dentist appointment that might overlap his art class, please check and suggest a fix.",deep_weekly_workflow,synthetic
"Need help with Priya's birthday party on Thursday, family-4 — transport and reminders?",deep_weekly_workflow,synthetic
"Zoe's swim class and chess club on same day next week, any conflicts? Draft a plan please.",deep_weekly_workflow,synthetic
"Ben's tutoring session and orthodontist visit next week, resolve transport issues and send reminders.",deep_weekly_workflow,synthetic
"Ava's gymnastics Monday and piano lesson Tuesday — find a slot that works, family-1 please.",deep_weekly_workflow,synthetic
"Noah's school pickup overlaps with a playdate, need a revised calendar — ty for help!",deep_weekly_workflow,synthetic
"Maya's art class and birthday party on Friday, family-2 check clashes and draft reminders (sorry typo: clashs).",deep_weekly_workflow,synthetic
"Family-3: Please generate three schedule options for Leo's soccer practice and swim class next week, then pick best and send reminders.",deep_weekly_workflow,synthetic
"Zoe's orthodontist visit and swim class overlapping, can you resolve and draft reminders, family-4.",deep_weekly_workflow,synthetic
"I need a full weekly plan for family-1, check school events, suggest best slots for tutoring session and piano lesson, reminders?",deep_weekly_workflow,synthetic
"Family-2: Plan transportation for Leo's dentist appointment on May 27 2027, update calendar please.",deep_weekly_workflow,synthetic
"Can you coordinate next week for family-1? Maya's soccer practice Tuesday conflicts with piano lesson, need options and reminders.",deep_weekly_workflow,synthetic
"Please plan the week of family-2 starting May 20. Noah's swim class Mon, dentist appointment Wed, check against school pickup, give three schedule options and draft reminders.",deep_weekly_workflow,synthetic
"Could you handle scheduling for family-3? Ava's piano lesson Wed and art class Thu, resolve conflicts with tutoring session, propose plans, send reminders.",deep_weekly_workflow,synthetic
"Need a weekly plan for family-4. Ruby's soccer practice Fri, gymnastics Thu, ensure no overlap with birthday party, draft reminders.",deep_weekly_workflow,synthetic
"Hey pls coordinate next week for family-3. Leo's chess club Tue, orthodontist visit Thu, need conflict check and reminder drafts.",deep_weekly_workflow,synthetic
"Can you create schedule for family-4? Sofia's swim class Mon, tutoring session Wed, school pickup Thu, resolve clashes, give options and reminders.",deep_weekly_workflow,synthetic
"Please coordinate next week for family-1. Ben's soccer practice Tue, gymnastics Wed, check for conflicts with playdate, produce three plans, reminders.",deep_weekly_workflow,synthetic
"coud you plan the week for family-2? Maya's piano lesson Wed, dentist appointment Thu, need conflict resolution and schedule options, reminders.",deep_weekly_workflow,synthetic
"Can you handle weekly coordination for family-3? Noah's swim class Mon, art class Thu, also chess club Fri, check overlaps, draft reminders.",deep_weekly_workflow,synthetic
"Need schedule for family-4 starting June 1. Ruby's soccer practice Fri, orthodontist visit Mon, ensure no conflict with birthday party, send three options and reminders.",deep_weekly_workflow,synthetic
"Please coordinate next week for family-2. Zoe's piano lesson Tue, soccer practice Wed, need conflict check and reminder drafts.",deep_weekly_workflow,synthetic
"Can you plan family-1 week? Leo's chess club Mon, tutoring session Wed, resolve with school pickup Thu, generate options and reminders.",deep_weekly_workflow,synthetic
"Need 2 soccer practice ideas for Leo this Sat. Check calendar first, 45‑min drive max, don’t add to calendar.",outing_workflow,synthetic
"Could you suggest a piano lesson for Maya next weekend? Please verify our calendar, keep the drive under 45 minutes, and do not schedule anything.",outing_workflow,synthetic
"Looking for a swim class for Noah on Friday. Check calendar first, limit drive to 45 min, don’t add anything.",outing_workflow,synthetic
"Find art class options for Ava this weekend — please check our calendar first, stay within a 45‑minute drive, and do not add to the calendar.",outing_workflow,synthetic
"Need a birthday party spot for Zoe during break. Check calendar first, 45‑min drive limit, no calendar changes.",outing_workflow,synthetic
"Please suggest a chess club session for Ben this Saturday; verify calendar availability, keep drive under 45 min, and do not schedule.",outing_workflow,synthetic
"Suggest a gymnastics class for Priya next weekend. Check calendar first, 45‑min drive max, and don’t add anything.",outing_workflow,synthetic
"Can you find a orthodontist visit idea for Sofia this Saturday? Check calendar, stay within 45‑min drive, do NOT add to calendar.",outing_workflow,synthetic
"Looking for a playdate for Kai this weekend — please check calendar first, limit drive to 45 min, no additions.",outing_workflow,synthetic
"Need a tutoring session idea for Ruby this weekend. Please verify calendar, keep drive under 45 min, and do not add anything.",outing_workflow,synthetic
"Find a chess club idea for Noah this weekend. Check calendar first, 45‑min drive limit, don’t schedule.",outing_workflow,synthetic
"Could you suggest a soccer practice slot for Maya this Saturday? Verify calendar, stay within 45‑minute drive, and do not add to calendar.",outing_workflow,synthetic
"Find three weekend activities for Leo this Saturday near family-1 within a 45‑minute drive, confirm they fit our calendar and don’t add anything.",outing_workflow,synthetic
Please suggest two fun outings for Maya during next week’s break that are close to family-2 and under 30 min drive; please don’t modify our schedule.,outing_workflow,synthetic
"Need one activity idea for Ava this weekend, preferably outdoors, near family-3, staying under 45 min drive, and make sure we don’t book it into the calendar.",outing_workflow,synthetic
"Give me two piano‑lesson‑style events for Noah this Saturday near family-4, within 45 min drive, and skip adding them to the calendar.",outing_workflow,synthetic
"Hey can you list three cool activities nea family-1 for my kid Zoe this weekend, drive ≤45 min, and please don’t update the calendar.",outing_workflow,synthetic
"Could you provide a short list of playdate options for Ben this school break near family-2, keep drive time under an hour, and don’t add to calendar.",outing_workflow,synthetic
"Find an art class for Sofa this Saturday near family-3, within 40 min drive, and make sure we don’t schedule it in the calendar.",outing_workflow,synthetic
"Give me two gymnastics sessions for Kai this weekend near family-4, stay within 30 min drive, and no calendar changes.",outing_workflow,synthetic
"Looking for a birthday party idea for Ruby this weekend near family-1, drive ≤45 min, and please don’t put it on the calendar.",outing_workflow,synthetic
"Please suggest two chess‑club meetups for Leo this Saturday near family-2, keep drive under 45 min, and skip adding to calendar.",outing_workflow,synthetic
"Need a quick list of swim‑class options for Maya this weekend near family-3, within 45 min drive, and don’t schedule them.",outing_workflow,synthetic
"Can you find three tutoring sesssions for Noah this school break near family-4, drive ≤45 min, and make sure we don’t add them to the calendar.",outing_workflow,synthetic
"Suggest 1 swim class near San Jose for Maya family-3 this Saturday, verify calendar slots, keep drive ≤45 min, no adds.",outing_workflow,synthetic
"Find a piano lesson for Leo in family-2 this Sunday, check schedule first, stay within 45‑minute drive, dont modify calendar.",outing_workflow,synthetic
"Give me a neaby art class for Ava family-1 next weekend, see my calendar availability, limit travel to 45 min, no edits.",outing_workflow,synthetic
"Can you list a gymnastics sesson for Noah family-4 on Friday break, check my calendar first, keep travel ≤45 min, no additions.",outing_workflow,synthetic
"Tell me 2 neaby chess club spots for Priya family-2 this Saturday, confirm from my calendar, keep it under 45 min drive, no changes.",outing_workflow,synthetic
"Find a dentist appointment for Zoe family-3 this Sunday, check my calendar first, stay within 45‑minute drive, dont add.",outing_workflow,synthetic
"Suggest a soccer practce for Ben family-1 this Saturday, verify on my schedule, limit to 45 min travel, no edits.",outing_workflow,synthetic
"Give me a tutoring sesson for Sofia family-2 next weekend, check my calendar first, keep drive ≤45 min, no additions.",outing_workflow,synthetic
"Find a playdate for Kai family-4 this Friday, check my calendar first, stay within 45‑minute drive, dont add to calendar.",outing_workflow,synthetic
"List a birthday party for Ruby family-3 this Saturday, verify schedule, keep travel under 45 min, no calendar changes.",outing_workflow,synthetic
"Find an orthodontist visit for Leo family-2 this weekend, verify my calender, stay within 45‑minute drive, no edits.",outing_workflow,synthetic
"Suggest a school pickup activity for Maya family-1 this Sunday, check my calender first, limit drive to 45 min, no additions.",outing_workflow,synthetic
"Could you suggest three weekend activities for Leo (family-1) near San Jose, preferably outdoor, keeping drive under 45 min? Please check my calendar first and do not add anything.",outing_workflow,synthetic
"Find three outings for Maya (family-2) this weekend, under 45‑minute drive, check calendar first, no edits.",outing_workflow,synthetic
"Hi, I need ideas for Ava (family-3) during school break — maybe art class or swim class. Keep it under 30‑min drive, check calender first, don’t add.",outing_workflow,synthetic
"Can you give me suggestions for Noah (family-1) this Saturday? Think soccer practice or chess club, but only if they fit the calendar. Please don’t modify it.",outing_workflow,synthetic
"Suggest two activities for Priya (family-2) this weekend, max 40‑min drive, check schedule first, no changes.",outing_workflow,synthetic
Please list three nearby weekend outings for Zoe (family-4) that are within a 45‑minute drive; verify my calendar first and do not add anything.,outing_workflow,synthetic
"Need a birthday party venue for Ben (family-3) next weekend, under 30‑min drive, check calender before listing, no additions.",outing_workflow,synthetic
"Find a gymnastics slot for Sofia (family-1) this Sunday, staying within 40‑min drive, review my calendar first, do not edit it.",outing_workflow,synthetic
"Suggest two tutoring sessions for Kai (family-2) this weekend, drive <=45 min, check calender first, no updates.",outing_workflow,synthetic
"Could you provide three activity ideas for Ruby (family-4) this weekend, preferably outdoor or art‑related, within 30‑min drive? Please check my calendar first and do not modify.",outing_workflow,synthetic
"Give me two weekend outings for Leo (family-3) near my home, under 45‑min drive, check calendar first, no additions.",outing_workflow,synthetic
"Hey, can you find three activities for Maya (family-2) this Saturday? Maybe piano lesson or art class, but only if they fit the calender — please don’t add anything.",outing_workflow,synthetic
"Maya (family-3) need two weekend outings within 30 mi — something like piano lesson or art class, check the calendar first, and don’t add anything.",outing_workflow,synthetic
"Noah (family-1) looking for two activity ideas this weekend, preferably swim class or tutoring session, within a 40‑minute drive, please verify the calendar first and leave it unchanged.",outing_workflow,synthetic
"Ava (family-4) want two nearby options under 45 min drive — birthday party or playdate — check the calendar first, no additions please.",outing_workflow,synthetic
"Priya (family-2) need two weekend activities close by (<30 mi), think orthodontist visit or gymnastics, check the calendar first and don’t modify it.",outing_workflow,synthetic
"Zoe (family-3) could you suggest two things for the weekend, like chess club or school pickup, within 45 min drive, check the calendar first and leave it as is.",outing_workflow,synthetic
Cancel Leo's soccer practice for family-1,ambiguous_clarify,synthetic
Delete Maya's piano lesson from family-2,ambiguous_clarify,synthetic
Remove Ava's dentist appointment tomorrow family-3,ambiguous_clarify,synthetic
Can you delete Noah's swim class on Thursday family-4,ambiguous_clarify,synthetic
Please delete Priya's orthodontist visit for family-2,ambiguous_clarify,synthetic
Remvoe Ben's chess club for family-1,ambiguous_clarify,synthetic
Would you mind removing Zoe's art class family-3,ambiguous_clarify,synthetic
Delete Ruby's birthday party for family-4,ambiguous_clarify,synthetic
Can cel Kai's gymnastics session family-1,ambiguous_clarify,synthetic
Cancel soccer practice for family-2,ambiguous_clarify,synthetic
Remove piano lesson for family-3,ambiguous_clarify,synthetic
Delete swim class on Friday family-4,ambiguous_clarify,synthetic
Delete soccer practice for family-3,ambiguous_clarify,synthetic
Can u cancel Maya’s piano lesson on Friday?,ambiguous_clarify,synthetic
Remove Leo’s dentist appointment tomorrow,ambiguous_clarify,synthetic
Take out Ava’s swim class this afternoon,ambiguous_clarify,synthetic
Reschedule Noah’s tutoring session next Tuesday?,ambiguous_clarify,synthetic
"Cancel birthday party for family-4 on Saturday, actually next week?",ambiguous_clarify,synthetic
Delete art class for family-2 this week,ambiguous_clarify,synthetic
Cancel chess club for family-1 Monday?,ambiguous_clarify,synthetic
Remove gymnastics practice for Maya on Thursday,ambiguous_clarify,synthetic
Delete playdate for Priya this Friday,ambiguous_clarify,synthetic
Cancel orthodontist visit for family-3 next month,ambiguous_clarify,synthetic
"Take out gym class for Zoe on Sunday, pls",ambiguous_clarify,synthetic
Delete soccer practice for family-2?,ambiguous_clarify,synthetic
Can you cancel Maya's piano lesson tomorrow?,ambiguous_clarify,synthetic
Remove Ava's dentist appointment next week please,ambiguous_clarify,synthetic
Cancel swimming class for Noah on Saturday?,ambiguous_clarify,synthetic
Delete Leo's birthday party this Saturday,ambiguous_clarify,synthetic
Cancel tutoring session for Priya tomorrow afternoon,ambiguous_clarify,synthetic
Remove art class for Zoe on Thursday,ambiguous_clarify,synthetic
Take out chess club for Kai next Monday,ambiguous_clarify,synthetic
Cancel gymnastics for Ruby this Friday,ambiguous_clarify,synthetic
Delete piano lesson for family-3 next week,ambiguous_clarify,synthetic
Can u delete piano lesson for Maya tomorrow?,ambiguous_clarify,synthetic
Delete dentist appt for Noah on Friday?,ambiguous_clarify,synthetic
Delet Maya's piano lesson,ambiguous_clarify,synthetic
Pls delete Leo's art class,ambiguous_clarify,synthetic
Remove Priya's dentist appointment next week,ambiguous_clarify,synthetic
Please take out Noah's swim class,ambiguous_clarify,synthetic
Can you delete Ava's chess club?,ambiguous_clarify,synthetic
Take out Zoe's tutoring session for family-3,ambiguous_clarify,synthetic
"Delete Ben's birthday party, actually soccer?",ambiguous_clarify,synthetic
Delete Sofia's playdate,ambiguous_clarify,synthetic
