text,category_truth
Cancel Ruby's orthodontist visit for family-1,ambiguous_clarify
Please assign parent-1 two overlapping activities in family-3,fast_path_conflict
"Please plan the week of family-2 starting May 20. Noah's swim class Mon, dentist appointment Wed, check against school pickup, give three schedule options and draft reminders.",deep_weekly_workflow
"Give me a tutoring sesson for Sofia family-2 next weekend, check my calendar first, keep drive ≤45 min, no additions.",outing_workflow
List all events for family-3 today,fast_path_read
Assign two overlapping activities to parent-1 in family-1,fast_path_conflict
Apply the outdated weekly plan for family-4 - I know it's stale but use it anyway,fast_path_reject
Could you please add Maya's piano lesson tomorrow at 3 PM for family-2,fast_path_mutate
Please update the plan for family-1,ambiguous_clarify
Cancel Kai's gymnastics,ambiguous_clarify
"Zoe (family-3) could you suggest two things for the weekend, like chess club or school pickup, within 45 min drive, check the calendar first and leave it as is.",outing_workflow
Add a birthday party for family-2,ambiguous_clarify
Find three science or outdoor activities near San Jose for family-1 this weekend. Check our calendar first and stay within a 45-minute drive. Do not add anything to the calendar.,outing_workflow
"Family-3: Please generate three schedule options for Leo's soccer practice and swim class next week, then pick best and send reminders.",deep_weekly_workflow
Try again to assign Ben's chess club at 5pm for family-3 after it was blocked,fast_path_reject
"Hey pls coordinate next week for family-3. Leo's chess club Tue, orthodontist visit Thu, need conflict check and reminder drafts.",deep_weekly_workflow
Restore Leo's orthodontist visit that got canceled today family-4,fast_path_mutate
I need to move Ava's art class.,ambiguous_clarify
Move Leo's soccer practice tomorrow from 4 PM to 6 PM for family-1,fast_path_mutate
"List a birthday party for Ruby family-3 this Saturday, verify schedule, keep travel under 45 min, no calendar changes.",outing_workflow
"Suggest a school pickup activity for Maya family-1 this Sunday, check my calender first, limit drive to 45 min, no additions.",outing_workflow
Schedule Ava's art class in family-2 (she actually belongs to family-3),fast_path_reject
Delete soccer practice for family-1,ambiguous_clarify
Reschedule Priya's tutoring session to next Monday for family-1,fast_path_mutate
Try to add Ben's gymnastics at 5 PM for family-2 after I just rejected it,fast_path_reject
Please delete Priya's orthodontist visit for family-2,ambiguous_clarify
Delete Maya's piano lesson from family-2,ambiguous_clarify
Add Leo's soccer practice tomorrow from 5 to 6 PM for family-1,fast_path_mutate
Add Kai's swim class next Wednesday from 3 to 4 PM for family-1,fast_path_mutate
Restore Noah's deleted orthodontist visit for today in family-4,fast_path_mutate
"Assign Ben's tutoring session to 4pm Thursday, but he's already booked for gymnastics then, family-4",fast_path_conflict
"next week for Maya (family-2) – piano lesson, art class, birthday party. Resolve any timing issues, propose a plan, and send reminders. thx",deep_weekly_workflow
"Suggest two tutoring sessions for Kai (family-2) this weekend, drive <=45 min, check calender first, no updates.",outing_workflow
Could you please schedule Maya's piano lesson overlapping her soccer practice on Tuesday at 5 PM for family-2,fast_path_conflict
"Can you find a orthodontist visit idea for Sofia this Saturday? Check calendar, stay within 45‑min drive, do NOT add to calendar.",outing_workflow
"Add Ben's tutoring session Thursday 4pm, overlapping with his art class, family-1",fast_path_conflict
Show all events in family-1,fast_path_read
"Next week for Leo (family-1): soccer practice, piano lesson, chess club – check for clashes, fix any, and draft reminders.",deep_weekly_workflow
"Please add Ben's orthodontist visit at 3pm, but he already has soccer practice booked then, family-1",fast_path_conflict
Restore Zoe's birthday party from last month for family-2,fast_path_reject
"Kindly review next week for family-4: Kai’s chess club and tutoring session, produce a reviewed weekly plan.",deep_weekly_workflow
Draft reminder 9am for family-2 about Zoe's orthodontist visit,fast_path_mutate
"Find a chess club idea for Noah this weekend. Check calendar first, 45‑min drive limit, don’t schedule.",outing_workflow
"Could you suggest three weekend activities for Leo (family-1) near San Jose, preferably outdoor, keeping drive under 45 min? Please check my calendar first and do not add anything.",outing_workflow
Show Noah's piano lesson this week family-3,fast_path_read
Add Ruby's gymnastics class tomorrow 6-7pm family-3,fast_path_mutate
"Please move Maya's swim class from Wednesday to Thursday at 4 PM, family-2",fast_path_mutate
"Can you put together a full weekly schedule for family-1, including pickups and reminders?",deep_weekly_workflow
Would you mind removing Zoe's art class family-3,ambiguous_clarify
Show reminder drafts for Priya's swim class tomorrow in family-3,fast_path_read
"I need a full weekly plan for family-1, check school events, suggest best slots for tutoring session and piano lesson, reminders?",deep_weekly_workflow
"Could you coordinate everything for family-2 next week - activities, transportation, and reminders for both kids?",deep_weekly_workflow
"Find three outings for Maya (family-2) this weekend, under 45‑minute drive, check calendar first, no edits.",outing_workflow
Reschedule Priya's tutoring session for family-1,ambiguous_clarify
List all school pickup events family-4,fast_path_read
Move Ava's playdate to next Mon 11am family-2,fast_path_mutate
pls show all events for family-2 next week,fast_path_read
Add Zoe's birthday party next Saturday for family-2,fast_path_mutate
Show chess club session tomorrow for family-4,fast_path_read
"Add Priya's gymnastics Thursday 5pm, overlapping her tutoring session, family-2",fast_path_conflict
"Move Ruby's piano lesson to when her soccer practice already is, family-4",fast_path_conflict
"Ava's gymnastics Monday and piano lesson Tuesday — find a slot that works, family-1 please.",deep_weekly_workflow
"Zoe's orthodontist visit and swim class overlapping, can you resolve and draft reminders, family-4.",deep_weekly_workflow
Add Leo's soccer practice yesterday from 4 to 5 PM for family-1,fast_path_reject
Cancel Ava's art class tomorrow for family-3,fast_path_mutate
Add Leo's piano lesson during his existing soccer practice for family-1,fast_path_conflict
Move Ava's dentist appointment to Thursday,ambiguous_clarify
"Please update Noah's orthodontist visit to overlap directly with his existing piano lesson, family-1",fast_path_conflict
Can you look at family-1's whole week and make sure Leo and Maya's activities don't clash?,deep_weekly_workflow
Remove piano lesson for family-3,ambiguous_clarify
Assign Noah's swim class overlapping his scheduled tutoring session in family-2,fast_path_conflict
Can you draft reminders for family-4 next week? Priya’s tutoring session and birthday party are both scheduled.,deep_weekly_workflow
Create a birthday party for Ruby next Saturday at 2 PM for family-1,fast_path_mutate
"Could you schedule Maya's swim class on June 5, 2022 from 4-5 for family-4",fast_path_reject
"Assign both of Zoe's activities to overlap on Friday afternoon, family-2",fast_path_conflict
Cancel Leo's soccer practice for family-1,ambiguous_clarify
Remvoe Ben's chess club for family-1,ambiguous_clarify
List all family-4 events this week,fast_path_read
Add Ben's chess club for family-3,ambiguous_clarify
Please plan transportation for family-2 on May 27 2027 (last day of school) for Ava’s swim class.,deep_weekly_workflow
Add an art class for family-1,ambiguous_clarify
Cancel gymnastics for Ruby this Friday,ambiguous_clarify
list today's activities for Noah in family-1,fast_path_read
I want a complete review of family-3's week - resolve conflicts across all the kids' activities.,deep_weekly_workflow
Show Ruby's orthodontist visit next week family-3,fast_path_read
"Add Ava's swim class tomorrow 10-11 AM for family-4, but I need to note it conflicts with her gymnastics at 10:30 AM for family-4",fast_path_conflict
Take out Leo's soccer practice,ambiguous_clarify
"Please schedule Ben's dentist appointment for next Tuesday at 10 AM, family-4",fast_path_mutate
"Can you create schedule for family-4? Sofia's swim class Mon, tutoring session Wed, school pickup Thu, resolve clashes, give options and reminders.",deep_weekly_workflow
Add Noah's dentist appointment on March 5 for famil-3,fast_path_reject
Show all family-1 activities next week,fast_path_read
"Add Leo's dentist appointment at 5pm Tuesday, but he's already got chess club then, family-3",fast_path_conflict
Assign Ben's orthodontist visit on Jul 10 2023 3-4 PM for family-3,fast_path_reject
"family-4, Noah: upcoming week includes gymnastics Tue, chess club Thu, school pickup Fri – need to spot clashes and send a reviewed plan.",deep_weekly_workflow
Delete Noah's dentist appt today for family-1,fast_path_mutate
Add Sofia's art class next Wednesday for family-1,fast_path_mutate
Can u cancel Maya’s piano lesson on Friday?,ambiguous_clarify
Set up something for Kai this week,ambiguous_clarify
Move Ava's dentist appointment to Thursday for family-3,fast_path_mutate
Delete Leo's birthday party this Saturday,ambiguous_clarify
Add Maya's piano lesson next Thursday at 5 PM for family-2,fast_path_mutate
"Assign both parent-1 and parent-2 to drive Leo at the exact same time, family-1",fast_path_conflict
"Please assign Maya's tutoring session to family-1, though her family record shows family-4",fast_path_reject
"Move Leo's art class to overlap with his soccer practice on Tuesday, family-4",fast_path_conflict
List all events for Maya in family-2 today,fast_path_read
Take out Ava’s swim class this afternoon,ambiguous_clarify
"Need schedule for family-4 starting June 1. Ruby's soccer practice Fri, orthodontist visit Mon, ensure no conflict with birthday party, send three options and reminders.",deep_weekly_workflow
"Priya (family-2) need two weekend activities close by (<30 mi), think orthodontist visit or gymnastics, check the calendar first and don’t modify it.",outing_workflow
"Please coordinate next week for family-2. Zoe's piano lesson Tue, soccer practice Wed, need conflict check and reminder drafts.",deep_weekly_workflow
"Need a tutoring session idea for Ruby this weekend. Please verify calendar, keep drive under 45 min, and do not add anything.",outing_workflow
Remove Leo’s dentist appointment tomorrow,ambiguous_clarify
"Cancel Ruby's gymnastics session next Monday, family-1",fast_path_mutate
Can we shift Noah's swim class next Friday?,ambiguous_clarify
Please reschedule Ruby's session,ambiguous_clarify
"Hey, can you handle next week for famly-4? Noah has tutoring session Mon, chess club Wed, art class Fri – find overlaps and propose assignments, then send reminders.",deep_weekly_workflow
"family-2, Maya: need to coordinate next week, she has birthday party Mon, gymnastics Wed, chess club Fri – find any clashes, propose assignments.",deep_weekly_workflow
Cancel orthodontist visit for family-3 next month,ambiguous_clarify
"Give me two weekend outings for Leo (family-3) near my home, under 45‑min drive, check calendar first, no additions.",outing_workflow
Please add Zoe's birthday party on June 30 2025 at 4 PM for family-2,fast_path_reject
Show upcoming chess club for Kai family-1,fast_path_read
Add Kai's dentist appointment tomorrow 10-11am family-4,fast_path_mutate
Assign Vikram to a Tuesday 10 AM pickup for family-1.,fast_path_reject
Add Leo's birthday party yesterday at 2pm for family-2,fast_path_reject
Move Maya's session to next week,ambiguous_clarify
Add Noah's dentist appointment yesterday 2-3 for family-3,fast_path_reject
Schedule Priya's tutoring session on May 1 2022 at 2 PM for family-1,fast_path_reject
Delete soccer practice for family-3,ambiguous_clarify
Try scheduling Leo's art class again for family-2 even though you already rejected it this morning,fast_path_reject
"Please suggest a chess club session for Ben this Saturday; verify calendar availability, keep drive under 45 min, and do not schedule.",outing_workflow
Delete Ruby's orthodontist visit,ambiguous_clarify
Update family-4's plan using the old version; an event changed after weekly generation,fast_path_reject
List all events for family-4 today,fast_path_read
Cancel the reminder for Priya's birthday party scheduled tomorrow,fast_path_mutate
"Need a birthday party venue for Ben (family-3) next weekend, under 30‑min drive, check calender before listing, no additions.",outing_workflow
"Can you plan family-1 week? Leo's chess club Mon, tutoring session Wed, resolve with school pickup Thu, generate options and reminders.",deep_weekly_workflow
Show tomorrow's activities for Noah in family-2,fast_path_read
"Assign Leo's school pickup to family-2, though he's registered in family-1",fast_path_reject
"Ben's tutoring session and orthodontist visit next week, resolve transport issues and send reminders.",deep_weekly_workflow
Move Zoe's art class from 3 PM to 4:30 PM for family-1,fast_path_mutate
"Can you find three tutoring sesssions for Noah this school break near family-4, drive ≤45 min, and make sure we don’t add them to the calendar.",outing_workflow
Retry adding Zoe's dentist appointment at 4:15pm for family-1 after previous rejection,fast_path_reject
"Give me two piano‑lesson‑style events for Noah this Saturday near family-4, within 45 min drive, and skip adding them to the calendar.",outing_workflow
Delete playdate for Priya this Friday,ambiguous_clarify
Cancel Maya's birthday party tomorrow family-3,fast_path_mutate
Cancel soccer practice for family-2,ambiguous_clarify
"Try applying option 1 for family-1 after the weekly plan changed, but I think it's still okay",fast_path_reject
"Schedule Kai's swim class and chess club for the same hour on Monday, family-4",fast_path_conflict
"Plan transportation for family-1 on the last day of school, May 27, 2027.",deep_weekly_workflow
"Please coordinate next week for family-1. Ben's soccer practice Tue, gymnastics Wed, check for conflicts with playdate, produce three plans, reminders.",deep_weekly_workflow
Move Leo's practice to 6 PM for family-1,fast_path_mutate
Please add Leo's piano lesson overlapping his soccer practice for family-1,fast_path_conflict
"Update Zoe's piano lesson to start at 4:30 instead of 4 on Thursday, family-2",fast_path_mutate
"Find art class options for Ava this weekend — please check our calendar first, stay within a 45‑minute drive, and do not add to the calendar.",outing_workflow
Hey can you sync Maya's soccer practice and piano lesson for family-2 next week any clashes?,deep_weekly_workflow
Add Leo's piano lesson durin his existing soccer practice for family-4,fast_path_conflict
"Please help coordinate next week for family-2, Maya has piano lesson Mon, birthday party Tue, orthodontist visit Thu – resolve any school event conflicts and draft a weekly plan.",deep_weekly_workflow
"Please add Noah's orthodontist visit at the same time as his swim class, family-2",fast_path_conflict
"Schedule Kai's tutoring session during his gymnastics practice, family-2",fast_path_conflict
"Add Maya's gymnastics at 4pm for family-2, but that's when her piano lesson is scheduled",fast_path_conflict
"Schedule two of Noah's activities back to back with no gap for the same pickup slot, family-3",fast_path_conflict
Add Leo's dentist appointment tomorrow from 2 to 3 PM at Willow Clinic for family-1,fast_path_mutate
"Could you suggest a soccer practice slot for Maya this Saturday? Verify calendar, stay within 45‑minute drive, and do not add to calendar.",outing_workflow
"Cancel Ben's dentist appointment, family-3",ambiguous_clarify
Move Maya's swim class to yesterday's time slot for family-2,fast_path_reject
"Find a playdate for Kai family-4 this Friday, check my calendar first, stay within 45‑minute drive, dont add to calendar.",outing_workflow
Show Leo's soccer practice today family-1,fast_path_read
"Can you fix conflicts next week for family-2? Maya has tutoring session Mon, swim class Wed, birthday party Fri – produce three schedule options and draft reminders.",deep_weekly_workflow
Move Ava's swim class to 4pm for family-3 pls,fast_path_mutate
Please add Sofia's art class on April 5 2024 1-2 PM for family-1,fast_path_reject
"family-1, Noah: need to plan transportation for his soccer practice on Thursday and piano lesson Friday, check with school pickup, send revised schedule.",deep_weekly_workflow
Add Maya's piano lesson tomorrow 5-6pm family-2,fast_path_mutate
Remove Priya's dentist appointment next week,ambiguous_clarify
Show Sofia's art class tomorrow family-2,fast_path_read
"Looking for a birthday party idea for Ruby this weekend near family-1, drive ≤45 min, and please don’t put it on the calendar.",outing_workflow
"Looking for a playdate for Kai this weekend — please check calendar first, limit drive to 45 min, no additions.",outing_workflow
Pls delete Leo's art class,ambiguous_clarify
Please list three nearby weekend outings for Zoe (family-4) that are within a 45‑minute drive; verify my calendar first and do not add anything.,outing_workflow
Schedule Ruby's gymnastics on 02/30/2023 at 10am for family-1,fast_path_reject
"Move Ben's playdate to the same hour as his dentist appointment, family-1",fast_path_conflict
Assign Ben's school pickup at 3pm overlapping his existing tutoring session for family-3,fast_path_conflict
"Need a weekly plan for family-4. Ruby's soccer practice Fri, gymnastics Thu, ensure no overlap with birthday party, draft reminders.",deep_weekly_workflow
List all Orthodontist visits for Zoe family-3,fast_path_read
Remove Ava's dentist appointment tomorrow family-3,ambiguous_clarify
Use the old plan to schedule Maya's birthday party for family-1,fast_path_reject
"Please coordiante family-1 next week: Ruby’s orthodontist visit and gymnastics, check school events for overlap.",deep_weekly_workflow
"Could you synchronise next week for family-4, Noah’s swim class and soccer practice, and approve plan before changes.",deep_weekly_workflow
Move Noah's gymnastics from 3 to 5pm family-1,fast_path_mutate
"Draft a reminder for parent-1 only, 8 AM, for Leo's next soccer practice in family-1",fast_path_mutate
"Cancel birthday party for family-4 on Saturday, actually next week?",ambiguous_clarify
Delete Noah's swim class for family-4,ambiguous_clarify
Move Zoe's swim class to 6 PM for family-2,fast_path_mutate
Add Noah's tutoring session for family-2 next Friday at 4 PM,fast_path_mutate
"Please handle the entire week's coordination for family-3, including all of Ava and Noah's activities.",deep_weekly_workflow
Delete Leo's soccer practice for family-2 (he's actually registered in family-1),fast_path_reject
Assign Noah's dentist appointment on Marz 15 2023 to family-3 (already booked for family-2),fast_path_reject
Show Leo's soccer practice reminder drafts family-3,fast_path_read
"Draft reminder for parent-1, 9 AM, for Leo's next soccer practice in family-2",fast_path_mutate
Schedule Kai's gymnastics next Tuesday at 4 PM for family-4,fast_path_mutate
"Cancel Ben's dentist appointment, it was last week, family-3",fast_path_reject
Reassign Maya's tutoring session to parent-2 family-2,fast_path_mutate
Move Priya's tutoring session to Friday at 5 PM for family-3,fast_path_mutate
"Find a gymnastics slot for Sofia (family-1) this Sunday, staying within 40‑min drive, review my calendar first, do not edit it.",outing_workflow
Show Kai's swim class tomorow family-4,fast_path_read
"Noah's school pickup overlaps with a playdate, need a revised calendar — ty for help!",deep_weekly_workflow
Take out chess club for Kai next Monday,ambiguous_clarify
"Please suggest two chess‑club meetups for Leo this Saturday near family-2, keep drive under 45 min, and skip adding to calendar.",outing_workflow
"Maya's art class and birthday party on Friday, family-2 check clashes and draft reminders (sorry typo: clashs).",deep_weekly_workflow
Show tomorrow's activities for family-3,fast_path_read
Show all family-4 activities next week,fast_path_read
Give me Noah's dentist appointment for family-1 tomorrow,fast_path_read
List all events in family-3 today,fast_path_read
Can you move practice to a different time for family-2?,ambiguous_clarify
Show all family-1 events for next week,fast_path_read
Delet Maya's piano lesson,ambiguous_clarify
Draft a reminder 8am for Ben's swim class tomorrow famly-3,fast_path_mutate
Apply option 1 for family-3. One of its events changed after the weekly plan was generated.,fast_path_reject
"family-3, Ava: soccer practice Mon, piano lesson Wed, dentist appointment Fri – check overlaps, fix them, and draft syr?",deep_weekly_workflow
Cancel tutoring session for Priya tomorrow afternoon,ambiguous_clarify
Move Ava's art class to 4pm famly-1,fast_path_mutate
"Update Ben's chess club to conflict with his scheduled dentist appointment same time, family-3",fast_path_conflict
Delete Noah's swim class today famly-3,fast_path_mutate
"Hi, I need ideas for Ava (family-3) during school break — maybe art class or swim class. Keep it under 30‑min drive, check calender first, don’t add.",outing_workflow
Please apply option 1 for family-3; one of its events changed after the weekly plan was generated,fast_path_reject
"Take out gym class for Zoe on Sunday, pls",ambiguous_clarify
Delete art class for family-2 this week,ambiguous_clarify
Add Ben's chess club at 5 PM tomorrow for family-3,fast_path_mutate
Delete piano lesson for family-3 next week,ambiguous_clarify
Add Maya's swim class yesterday from 3 to 4 PM for family-2,fast_path_reject
"Can you handle weekly coordination for family-3? Noah's swim class Mon, art class Thu, also chess club Fri, check overlaps, draft reminders.",deep_weekly_workflow
Reschedule the appointment for family-1,ambiguous_clarify
Show reminder drafts for Leo's soccer practice tomorrow in family-1,fast_path_read
Reassign Maya's piano lesson to parent-2 for family-1,fast_path_mutate
Move Ava's swim class to 7 PM for family-3,fast_path_mutate
"Add Ruby's swim class for family-3, but Ruby is actually registered in family-1",fast_path_reject
"Could you suggest a piano lesson for Maya next weekend? Please verify our calendar, keep the drive under 45 minutes, and do not schedule anything.",outing_workflow
Draft a reminder at 8 AM for parent-1 only for Leo's next practice in family-1,fast_path_mutate
"Schedule an activity from 5:15 to 5:45 PM on May 18, 2022 for family-1",fast_path_reject
"Please double book parent-1 for both Maya's and Leo's pickups at 3pm, family-1",fast_path_conflict
"Schedule Priya's birthday party for last Friday, family-2",fast_path_reject
"Find a dentist appointment for Zoe family-3 this Sunday, check my calendar first, stay within 45‑minute drive, dont add.",outing_workflow
"Schedule Zoe's art class at the same time as her piano lesson on Friday, family-2",fast_path_conflict
"Plan the whole week ahead for family-4, checking for overlaps between all scheduled activities.",deep_weekly_workflow
Delete Maya's piano lesson today for family-2,fast_path_mutate
Add Zoe's birthday party on Feb 1 2023 for family-2,fast_path_reject
"Find a piano lesson for Leo in family-2 this Sunday, check schedule first, stay within 45‑minute drive, dont modify calendar.",outing_workflow
Add Noah's gymnastics class tomorrow 1-2pm family-4,fast_path_mutate
Draft reminder 7am for Priya's tutoring sesion tomorrow family-2,fast_path_mutate
"Need a quick list of swim‑class options for Maya this weekend near family-3, within 45 min drive, and don’t schedule them.",outing_workflow
Resend the request to add Ben's pickup for family-1 despite earlier rejection,fast_path_reject
Move Noah's gymnastics to 5 PM tomorrow for family-4,fast_path_mutate
"Hey, can you list Maya's piano lesson tomorrow in family-2?",fast_path_read
"family-4, Noah: next week includes tennis practice Tue, school pickup Thu, orthodontist visit Fri – fix timing issues and draft a reviewed plan.",deep_weekly_workflow
Move Maya's swim class for family-2,ambiguous_clarify
Cancel Leo's soccer practice from last Tuesday for family-1,fast_path_reject
"Please fix conflicts for family-3 next week – Maya’s gymnastics and piano lesson, cross‑check school calendar.",deep_weekly_workflow
Show Maya's piano lesson tomorrow in family-2,fast_path_read
Assign Leo to a Tuesday 10 AM pickup for family-1 but he already has piano then for family-2,fast_path_conflict
I need next week fully planned out for family-3 - check every kid's schedule and send me options.,deep_weekly_workflow
Draft a reminder for Ava's piano lesson at 8 AM yesterDay for family-1,fast_path_reject
"Restore Ava's art class that I deleted by mistake, for next Tuesday, family-4",fast_path_mutate
